try_no,round_no,attacking_team,defending_team,attacking_rank,defending_rank,attacking_conf,defending_conf,game_time,try_source,final_source,phases,time_from_source,possession_zone,offloads,passes,total_passes
44,1,Reds,Sharks,14,8,AUS,SA2,49,Scrum,Scrum,0,11,A,0,1,1
45,1,Reds,Sharks,14,8,AUS,SA2,63,Lineout,Multiphase,8,70,C,1,12,13
46,1,Reds,Sharks,14,8,AUS,SA2,71,Kick Receipt,Kick Receipt,2,22,B,1,4,5
47,1,Sharks,Reds,8,14,SA2,AUS,2,Handling Error,Handling Error,0,7,B,2,0,2
48,1,Sharks,Reds,8,14,SA2,AUS,61,Lineout,Maul,0,8,A,0,0,0
49,1,Stormers,Bulls,3,15,SA1,SA1,15,Tap Penalty,Tap Penalty,0,2,D,0,1,1
50,1,Stormers,Bulls,3,15,SA1,SA1,28,Lineout,Kick,1,28,A,1,1,2
51,1,Stormers,Bulls,3,15,SA1,SA1,39,Scrum,Scrum,3,29,A,0,4,4
52,1,Stormers,Bulls,3,15,SA1,SA1,49,Ruck Turnover,Multiphase,4,37,B,0,6,6
53,1,Stormers,Bulls,3,15,SA1,SA1,66,Lineout,Multiphase,9,68,A,0,14,14
54,1,Stormers,Bulls,3,15,SA1,SA1,81,Tap Penalty,Tap Penalty,0,3,A,0,0,0
55,1,Sunwolves,Hurricanes,17,5,SA1,NZ,33,Lineout,Lineout,2,32,A,3,2,5
56,1,Sunwolves,Hurricanes,17,5,SA1,NZ,70,Lineout,Multiphase,5,34,A,1,4,5
57,1,Sunwolves,Hurricanes,17,5,SA1,NZ,78,Lineout,Lineout,2,17,B,1,5,6
58,1,Waratahs,Force,16,12,AUS,AUS,44,Tap Penalty,Tap Penalty,0,4,A,0,1,1
59,2,Blues,Chiefs,9,6,NZ,NZ,61,Lineout,Maul,0,9,A,0,0,0
60,2,Blues,Chiefs,9,6,NZ,NZ,65,Lineout,Maul,0,17,A,0,1,1
61,2,Blues,Chiefs,9,6,NZ,NZ,72,Lineout,Multiphase,11,122,A,0,9,9
62,2,Brumbies,Sharks,4,8,AUS,SA2,2,Lineout,Lineout,2,20,A,1,5,6
63,2,Brumbies,Sharks,4,8,AUS,SA2,24,Lineout,Maul,0,12,A,0,0,0
64,2,Brumbies,Sharks,4,8,AUS,SA2,69,Lineout,Lineout,1,13,A,0,4,4
65,2,Bulls,Cheetahs,15,13,SA1,SA1,7,Tap Penalty,Tap Penalty,1,11,B,0,1,1
66,2,Bulls,Cheetahs,15,13,SA1,SA1,64,Scrum,Multiphase,12,108,B,1,17,18
67,2,Bulls,Cheetahs,15,13,SA1,SA1,68,Kick Receipt,Kick,3,48,D,1,9,10
68,2,Cheetahs,Bulls,13,15,SA1,SA1,3,Kick Receipt,Multiphase,4,51,C,0,9,9
69,2,Cheetahs,Bulls,13,15,SA1,SA1,10,Scrum,Multiphase,7,70,A,1,10,11
70,2,Cheetahs,Bulls,13,15,SA1,SA1,30,Lineout,Maul,0,3,A,0,0,0
71,2,Cheetahs,Bulls,13,15,SA1,SA1,35,Kick Receipt,Multiphase,6,71,C,1,11,12
72,2,Chiefs,Blues,6,9,NZ,NZ,7,Lineout,Maul,0,10,A,0,0,0
73,2,Chiefs,Blues,6,9,NZ,NZ,21,Lineout,Multiphase,6,45,B,1,10,11
74,2,Chiefs,Blues,6,9,NZ,NZ,42,Lineout,Maul,0,15,A,0,0,0
75,2,Chiefs,Blues,6,9,NZ,NZ,42,Scrum,Scrum,1,15,A,0,0,0
76,2,Chiefs,Blues,6,9,NZ,NZ,48,Lineout,Lineout,0,10,A,0,3,3
77,2,Chiefs,Blues,6,9,NZ,NZ,56,Lineout,Lineout,2,37,D,2,7,9
78,2,Crusaders,Highlanders,2,7,NZ,NZ,54,Scrum,Scrum,0,9,A,0,0,0
79,2,Crusaders,Highlanders,2,7,NZ,NZ,66,Scrum,Scrum,0,10,A,1,1,2
80,2,Crusaders,Highlanders,2,7,NZ,NZ,74,Lineout,Multiphase,10,75,B,1,20,21
81,2,Crusaders,Highlanders,2,7,NZ,NZ,77,Kick Receipt,Kick Receipt,3,46,D,1,14,15
82,2,Force,Reds,12,14,AUS,AUS,1,Lineout,Lineout,0,12,B,0,4,4
83,2,Force,Reds,12,14,AUS,AUS,34,Tap Penalty,Tap Penalty,1,14,A,0,0,0
84,2,Force,Reds,12,14,AUS,AUS,68,Kick Receipt,Multiphase,6,68,C,2,13,15
85,2,Highlanders,Crusaders,7,2,NZ,NZ,26,Lineout,Lineout,0,5,B,1,0,1
86,2,Highlanders,Crusaders,7,2,NZ,NZ,35,Scrum,Kick,0,12,C,0,0,0
87,2,Highlanders,Crusaders,7,2,NZ,NZ,45,Lineout,Kick,0,12,C,1,1,2
88,2,Hurricanes,Rebels,5,18,NZ,AUS,17,Lineout,Maul,1,23,A,0,2,2
89,2,Hurricanes,Rebels,5,18,NZ,AUS,20,Scrum,Kick,2,40,C,0,6,6
90,2,Hurricanes,Rebels,5,18,NZ,AUS,27,Scrum,Scrum,0,11,A,0,1,1
91,2,Hurricanes,Rebels,5,18,NZ,AUS,32,Scrum,Scrum,1,23,D,0,5,5
92,2,Hurricanes,Rebels,5,18,NZ,AUS,39,Lineout,Maul,2,42,A,1,5,6
93,2,Hurricanes,Rebels,5,18,NZ,AUS,42,Kick Receipt,Kick Receipt,0,10,B,0,2,0
94,2,Hurricanes,Rebels,5,18,NZ,AUS,57,Scrum,Scrum,3,42,B,0,5,5
95,2,Hurricanes,Rebels,5,18,NZ,AUS,64,Lineout,Lineout,2,38,C,1,10,11
96,2,Hurricanes,Rebels,5,18,NZ,AUS,71,Lineout,Lineout,1,14,A,1,4,5
97,2,Hurricanes,Rebels,5,18,NZ,AUS,74,Scrum,Scrum,0,14,B,1,3,4
98,2,Hurricanes,Rebels,5,18,NZ,AUS,77,Intercept,Intercept,0,11,C,0,0,0
99,2,Jaguares,Stormers,10,3,SA2,SA1,16,Lineout,Lineout,3,27,A,0,1,1
100,2,Jaguares,Stormers,10,3,SA2,SA1,51,Lineout,Multiphase,6,49,B,1,6,7
101,2,Jaguares,Stormers,10,3,SA2,SA1,67,Lineout,Kick,2,29,C,0,5,5
102,2,Kings,Sunwolves,11,17,SA2,SA1,15,Ruck Turnover,Ruck Turnover,0,12,C,0,1,1
103,2,Kings,Sunwolves,11,17,SA2,SA1,34,Lineout,Lineout,1,14,B,0,2,2
104,2,Kings,Sunwolves,11,17,SA2,SA1,65,Lineout,Maul,0,33,B,0,0,0
105,2,Kings,Sunwolves,11,17,SA2,SA1,78,Ruck Turnover,Ruck Turnover,1,14,B,2,4,6
106,2,Lions,Waratahs,1,16,SA2,AUS,4,Lineout,Maul,1,16,A,0,0,0
107,2,Lions,Waratahs,1,16,SA2,AUS,14,Lineout,Maul,0,23,A,0,0,0
108,2,Lions,Waratahs,1,16,SA2,AUS,20,Lineout,Lineout,2,20,B,0,5,0
109,2,Lions,Waratahs,1,16,SA2,AUS,23,Kick Receipt,Kick,6,63,C,2,11,13
110,2,Lions,Waratahs,1,16,SA2,AUS,33,Scrum,Scrum,0,9,A,0,0,0
111,2,Lions,Waratahs,1,16,SA2,AUS,51,Ruck Turnover,Ruck Turnover,2,24,B,0,7,7
112,2,Lions,Waratahs,1,16,SA2,AUS,64,Lineout,Multiphase,6,52,C,3,10,13
113,2,Lions,Waratahs,1,16,SA2,AUS,77,Lineout,Maul,0,10,A,0,0,0
114,2,Reds,Force,14,12,AUS,AUS,18,Lineout,Maul,1,16,A,0,1,1
115,2,Reds,Force,14,12,AUS,AUS,21,Handling Error,Handling Error,0,14,D,0,3,3
116,2,Reds,Force,14,12,AUS,AUS,49,Scrum,Kick,2,27,B,0,5,5
117,2,Sharks,Brumbies,8,4,SA2,AUS,34,Lineout,Maul,2,11,A,0,2,2
118,2,Sharks,Brumbies,8,4,SA2,AUS,80,Handling Error,Kick,4,44,B,0,9,9
119,2,Stormers,Jaguares,3,10,SA1,SA2,22,Kick Receipt,Kick,4,36,C,1,6,7
120,2,Stormers,Jaguares,3,10,SA1,SA2,26,Kick Receipt,Kick,4,55,C,2,7,9
121,2,Stormers,Jaguares,3,10,SA1,SA2,64,Scrum,Scrum,0,12,A,0,0,0
122,2,Stormers,Jaguares,3,10,SA1,SA2,71,Handling Error,Multiphase,5,52,B,3,8,11
123,2,Sunwolves,Kings,17,11,SA1,SA2,22,Tap Penalty,Tap Penalty,0,5,A,0,1,1
124,2,Sunwolves,Kings,17,11,SA1,SA2,76,Intercept,Intercept,0,5,B,0,0,0
125,2,Sunwolves,Kings,17,11,SA1,SA2,81,Tap Penalty,Tap Penalty,3,45,A,1,5,6
126,2,Waratahs,Lions,16,1,AUS,SA2,6,Lineout,Lineout,2,23,B,0,5,5
127,2,Waratahs,Lions,16,1,AUS,SA2,18,Tap Penalty,Tap Penalty,1,7,A,1,1,2
128,2,Waratahs,Lions,16,1,AUS,SA2,37,Tap Penalty,Kick,2,25,A,0,4,4
129,2,Waratahs,Lions,16,1,AUS,SA2,58,Scrum,Scrum,2,30,A,0,4,4
130,2,Waratahs,Lions,16,1,AUS,SA2,80,Kick Receipt,Kick Receipt,0,16,C,1,0,1
131,3,Brumbies,Force,4,12,AUS,AUS,13,Lineout,Multiphase,7,59,A,0,7,7
132,3,Brumbies,Force,4,12,AUS,AUS,32,Scrum,Multiphase,4,38,B,0,7,7
133,3,Brumbies,Force,4,12,AUS,AUS,72,Lineout,Multiphase,4,36,A,0,4,4
134,3,Brumbies,Force,4,12,AUS,AUS,80,Lineout,Maul,0,16,A,0,0,0
135,3,Cheetahs,Sunwolves,13,17,SA1,SA1,15,Lineout,Maul,1,15,A,0,0,0
136,3,Cheetahs,Sunwolves,13,17,SA1,SA1,37,Lineout,Lineout,1,14,B,1,1,2
137,3,Cheetahs,Sunwolves,13,17,SA1,SA1,52,Lineout,Maul,1,12,A,0,1,1
138,3,Cheetahs,Sunwolves,13,17,SA1,SA1,66,Scrum,Scrum,0,19,A,0,1,1
139,3,Chiefs,Hurricanes,6,5,NZ,NZ,21,Scrum,Scrum,1,9,A,0,0,0
140,3,Chiefs,Hurricanes,6,5,NZ,NZ,40,Lineout,Kick,0,24,B,0,0,0
141,3,Crusaders,Reds,2,14,NZ,AUS,27,Lineout,Kick,2,28,B,0,4,4
142,3,Crusaders,Reds,2,14,NZ,AUS,62,Kick Receipt,Kick Receipt,1,19,C,1,3,4
143,3,Crusaders,Reds,2,14,NZ,AUS,75,Scrum,Scrum,3,33,A,0,4,4
144,3,Force,Brumbies,12,4,AUS,AUS,40,Lineout,Maul,0,11,A,0,0,0
145,3,Force,Brumbies,12,4,AUS,AUS,41,Lineout,Multiphase,14,108,B,2,20,22
146,3,Highlanders,Blues,7,9,NZ,NZ,16,Handling Error,Kick,0,12,C,0,3,3
147,3,Hurricanes,Chiefs,5,6,NZ,NZ,64,Lineout,Maul,0,30,A,0,0,0
148,3,Hurricanes,Chiefs,5,6,NZ,NZ,78,Lineout,Maul,0,34,A,0,5,5
149,3,Jaguares,Lions,10,1,SA2,SA2,5,Lineout,Multiphase,5,48,B,1,13,14
150,3,Jaguares,Lions,10,1,SA2,SA2,17,Tap Penalty,Multiphase,13,100,B,1,22,23
151,3,Jaguares,Lions,10,1,SA2,SA2,53,Scrum,Multiphase,7,48,A,0,3,3
152,3,Jaguares,Lions,10,1,SA2,SA2,57,Lineout,Multiphase,8,86,C,2,19,21
153,3,Kings,Stormers,11,3,SA2,SA1,56,Lineout,Kick,4,41,B,1,7,8
154,3,Lions,Jaguares,1,10,SA2,SA2,12,Lineout,Lineout,3,27,A,0,3,3
155,3,Lions,Jaguares,1,10,SA2,SA2,47,Lineout,Maul,0,5,A,0,0,0
156,3,Lions,Jaguares,1,10,SA2,SA2,72,Lineout,Multiphase,10,115,A,3,20,23
157,3,Lions,Jaguares,1,10,SA2,SA2,79,Lineout,Maul,0,33,A,0,0,0
158,3,Reds,Crusaders,14,2,AUS,NZ,11,Lineout,Maul,3,31,A,0,4,4
159,3,Reds,Crusaders,14,2,AUS,NZ,23,Tap Penalty,Tap Penalty,3,41,C,1,6,7
160,3,Sharks,Waratahs,8,16,SA2,AUS,2,Kick Receipt,Multiphase,9,74,B,3,11,14
161,3,Sharks,Waratahs,8,16,SA2,AUS,21,Intercept,Intercept,0,7,C,0,0,0
162,3,Sharks,Waratahs,8,16,SA2,AUS,40,Handling Error,Handling Error,0,8,C,0,0,0
163,3,Stormers,Kings,3,11,SA1,SA2,15,Kick Receipt,Kick Receipt,1,25,C,0,3,3
164,3,Stormers,Kings,3,11,SA1,SA2,30,Kick Receipt,Kick Receipt,3,30,D,2,5,7
165,3,Stormers,Kings,3,11,SA1,SA2,36,Lineout,Multiphase,9,67,B,1,10,11
166,3,Stormers,Kings,3,11,SA1,SA2,44,Kick Receipt,Multiphase,7,57,C,0,10,10
167,3,Stormers,Kings,3,11,SA1,SA2,76,Handling Error,Handling Error,1,16,B,1,3,4
168,3,Stormers,Kings,3,11,SA1,SA2,80,Tap Penalty,Tap Penalty,1,14,B,2,2,4
169,3,Sunwolves,Cheetahs,17,13,SA1,SA1,1,Kick Receipt,Kick Receipt,2,19,B,1,3,4
170,3,Sunwolves,Cheetahs,17,13,SA1,SA1,25,Lineout,Multiphase,9,72,B,1,16,17
171,3,Sunwolves,Cheetahs,17,13,SA1,SA1,55,Kick Receipt,Multiphase,6,62,C,3,12,15
172,3,Sunwolves,Cheetahs,17,13,SA1,SA1,62,Lineout,Lineout,0,8,B,1,0,1
173,3,Waratahs,Sharks,16,8,AUS,SA2,29,Lineout,Kick,2,30,A,0,2,2
174,3,Waratahs,Sharks,16,8,AUS,SA2,43,Chargedown,Chargedown,3,22,B,2,4,6
175,4,Blues,Crusaders,9,2,NZ,NZ,10,Kick Receipt,Kick Receipt,0,26,C,3,3,6
176,4,Blues,Crusaders,9,2,NZ,NZ,31,Lineout,Multiphase,5,42,B,1,7,8
177,4,Blues,Crusaders,9,2,NZ,NZ,35,Kick Receipt,Multiphase,8,84,C,2,9,11
178,4,Brumbies,Waratahs,4,16,AUS,AUS,18,Lineout,Maul,2,20,A,0,2,2
179,4,Brumbies,Waratahs,4,16,AUS,AUS,58,Lineout,Maul,0,13,A,0,0,0
180,4,Brumbies,Waratahs,4,16,AUS,AUS,61,Kick Receipt,Kick,2,27,C,0,1,1
181,4,Brumbies,Waratahs,4,16,AUS,AUS,74,Lineout,Maul,0,31,B,0,2,2
182,4,Bulls,Sunwolves,15,17,SA1,SA1,12,Handling Error,Handling Error,0,4,A,0,1,1
183,4,Bulls,Sunwolves,15,17,SA1,SA1,30,Lineout,Maul,0,10,A,0,0,0
184,4,Bulls,Sunwolves,15,17,SA1,SA1,44,Tap Penalty,Tap Penalty,1,10,A,0,1,1
185,4,Bulls,Sunwolves,15,17,SA1,SA1,65,Lineout,Lineout,0,9,B,0,1,1
186,4,Cheetahs,Jaguares,13,10,SA1,SA2,26,Lineout,Maul,3,39,A,0,4,0
187,4,Cheetahs,Jaguares,13,10,SA1,SA2,73,Lineout,Maul,0,11,A,0,0,0
188,4,Chiefs,Rebels,6,18,NZ,AUS,22,Lineout,Maul,1,30,B,2,1,3
189,4,Chiefs,Rebels,6,18,NZ,AUS,66,Lineout,Maul,1,25,A,0,0,0
190,4,Chiefs,Rebels,6,18,NZ,AUS,77,Lineout,Lineout,1,14,A,0,1,1
191,4,Chiefs,Rebels,6,18,NZ,AUS,80,Kick Receipt,Kick Receipt,2,37,C,2,7,9
192,4,Crusaders,Blues,2,9,NZ,NZ,24,Lineout,Multiphase,6,52,B,0,12,12
193,4,Crusaders,Blues,2,9,NZ,NZ,51,Lineout,Maul,0,13,A,0,0,0
194,4,Crusaders,Blues,2,9,NZ,NZ,57,Lineout,Maul,0,15,A,0,0,0
195,4,Crusaders,Blues,2,9,NZ,NZ,70,Kick Receipt,Multiphase,12,85,C,0,16,16
196,4,Crusaders,Blues,2,9,NZ,NZ,79,Scrum,Scrum,2,20,A,0,2,2
197,4,Highlanders,Hurricanes,7,5,NZ,NZ,32,Scrum,Scrum,0,7,A,0,1,1
198,4,Highlanders,Hurricanes,7,5,NZ,NZ,45,Lineout,Multiphase,8,49,A,0,9,9
199,4,Hurricanes,Highlanders,5,7,NZ,NZ,11,Lineout,Maul,0,19,A,0,0,0
200,4,Hurricanes,Highlanders,5,7,NZ,NZ,36,Kick Receipt,Multiphase,8,46,B,0,3,3
201,4,Hurricanes,Highlanders,5,7,NZ,NZ,42,Lineout,Kick,2,27,C,1,1,2
202,4,Hurricanes,Highlanders,5,7,NZ,NZ,51,Scrum,Scrum,0,9,B,0,1,1
203,4,Hurricanes,Highlanders,5,7,NZ,NZ,62,Scrum,Scrum,3,35,B,1,11,12
204,4,Hurricanes,Highlanders,5,7,NZ,NZ,68,Handling Error,Kick,2,28,C,1,5,6
205,4,Hurricanes,Highlanders,5,7,NZ,NZ,79,Lineout,Kick,7,42,A,0,3,3
206,4,Jaguares,Cheetahs,10,13,SA2,SA1,6,Kick Receipt,Multiphase,5,57,C,5,8,13
207,4,Jaguares,Cheetahs,10,13,SA2,SA1,21,Lineout,Multiphase,4,31,A,0,3,3
208,4,Jaguares,Cheetahs,10,13,SA2,SA1,28,Kick Receipt,Multiphase,4,45,C,4,10,14
209,4,Jaguares,Cheetahs,10,13,SA2,SA1,76,Lineout,Kick,3,31,C,1,2,1
210,4,Jaguares,Cheetahs,10,13,SA2,SA1,80,Lineout,Maul,0,13,A,0,0,0
211,4,Kings,Sharks,11,8,SA2,SA2,20,Chargedown,Chargedown,0,4,A,0,0,0
212,4,Kings,Sharks,11,8,SA2,SA2,32,Intercept,Intercept,0,6,B,0,0,0
213,4,Lions,Reds,1,14,SA2,AUS,18,Lineout,Kick,3,42,B,0,10,10
214,4,Lions,Reds,1,14,SA2,AUS,38,Lineout,Maul,0,5,A,0,0,0
215,4,Lions,Reds,1,14,SA2,AUS,45,Tap Penalty,Tap Penalty,2,21,A,0,6,6
216,4,Lions,Reds,1,14,SA2,AUS,50,Scrum,Scrum,2,22,A,0,4,4
217,4,Lions,Reds,1,14,SA2,AUS,62,Scrum,Scrum,0,10,A,0,3,3
218,4,Lions,Reds,1,14,SA2,AUS,65,Kick Receipt,Kick,0,13,C,0,0,0
219,4,Lions,Reds,1,14,SA2,AUS,72,Lineout,Maul,3,42,A,0,4,4
220,4,Rebels,Chiefs,18,6,AUS,NZ,43,Lineout,Multiphase,8,61,B,0,8,8
221,4,Reds,Lions,14,1,AUS,SA2,68,Scrum,Scrum,3,41,B,0,7,7
222,4,Reds,Lions,14,1,AUS,SA2,77,Tap Penalty,Tap Penalty,1,13,A,1,3,4
223,4,Sharks,Kings,8,11,SA2,SA2,27,Lineout,Maul,0,9,A,0,0,0
224,4,Sharks,Kings,8,11,SA2,SA2,65,Tap Penalty,Tap Penalty,1,16,A,0,4,4
225,4,Sunwolves,Bulls,17,15,SA1,SA1,40,Kick Receipt,Kick Receipt,0,16,C,1,1,2
226,4,Sunwolves,Bulls,17,15,SA1,SA1,70,Scrum,Multiphase,8,57,A,0,12,12
227,4,Waratahs,Brumbies,16,4,AUS,AUS,9,Lineout,Multiphase,5,38,A,0,2,2
228,4,Waratahs,Brumbies,16,4,AUS,AUS,63,Kick Receipt,Kick Receipt,2,25,C,0,6,0
229,5,Blues,Bulls,9,15,NZ,SA1,3,Lineout,Lineout,3,31,C,3,4,7
230,5,Blues,Bulls,9,15,NZ,SA1,46,Lineout,Multiphase,7,71,B,3,9,12
231,5,Blues,Bulls,9,15,NZ,SA1,55,Scrum,Kick,3,30,A,0,4,4
232,5,Blues,Bulls,9,15,NZ,SA1,67,Lineout,Lineout,3,28,A,1,3,4
233,5,Blues,Bulls,9,15,NZ,SA1,72,Scrum,Multiphase,8,68,C,0,16,16
234,5,Blues,Bulls,9,15,NZ,SA1,74,Kick Receipt,Kick Receipt,1,22,C,2,5,7
235,5,Brumbies,Highlanders,4,7,AUS,NZ,26,Lineout,Lineout,0,7,A,0,0,0
236,5,Bulls,Blues,15,9,SA1,NZ,17,Lineout,Maul,2,40,A,0,1,1
237,5,Bulls,Blues,15,9,SA1,NZ,80,Tap Penalty,Tap Penalty,0,2,A,0,0,0
238,5,Cheetahs,Sharks,13,8,SA1,SA2,29,Scrum,Scrum,1,14,A,0,2,2
239,5,Cheetahs,Sharks,13,8,SA1,SA2,40,Scrum,Scrum,0,16,A,0,2,2
240,5,Cheetahs,Sharks,13,8,SA1,SA2,79,Kick Receipt,Kick Receipt,3,39,C,1,8,9
241,5,Crusaders,Force,2,12,NZ,AUS,3,Kick Receipt,Kick Receipt,1,16,C,0,1,1
242,5,Crusaders,Force,2,12,NZ,AUS,16,Scrum,Multiphase,6,49,A,0,7,7
243,5,Crusaders,Force,2,12,NZ,AUS,22,Lineout,Maul,3,38,A,0,2,2
244,5,Crusaders,Force,2,12,NZ,AUS,27,Ruck Turnover,Ruck Turnover,0,0,C,0,0,0
245,5,Crusaders,Force,2,12,NZ,AUS,50,Lineout,Maul,0,19,A,0,0,0
246,5,Crusaders,Force,2,12,NZ,AUS,72,Lineout,Maul,2,27,A,1,3,4
247,5,Crusaders,Force,2,12,NZ,AUS,80,Lineout,Maul,0,16,A,0,0,0
248,5,Force,Crusaders,12,2,AUS,NZ,18,Intercept,Intercept,0,7,C,0,0,0
249,5,Force,Crusaders,12,2,AUS,NZ,40,Scrum,Multiphase,5,41,A,1,5,6
250,5,Highlanders,Brumbies,7,4,NZ,AUS,38,Scrum,Scrum,0,9,A,0,2,2
251,5,Highlanders,Brumbies,7,4,NZ,AUS,73,Scrum,Scrum,1,21,A,0,2,2
252,5,Jaguares,Reds,10,14,SA2,AUS,20,Scrum,Scrum,0,10,A,0,1,1
253,5,Jaguares,Reds,10,14,SA2,AUS,27,Kick Receipt,Kick Receipt,0,17,C,1,3,4
254,5,Jaguares,Reds,10,14,SA2,AUS,49,Lineout,Maul,0,37,B,1,1,2
255,5,Kings,Lions,11,1,SA2,SA2,1,Chargedown,Chargedown,0,5,A,0,0,0
256,5,Kings,Lions,11,1,SA2,SA2,18,Ruck Turnover,Ruck Turnover,0,12,C,0,1,1
257,5,Kings,Lions,11,1,SA2,SA2,43,Kick Receipt,Kick Receipt,1,25,B,2,4,6
258,5,Lions,Kings,1,11,SA2,SA2,3,Intercept,Intercept,0,0,A,0,0,0
259,5,Lions,Kings,1,11,SA2,SA2,11,Lineout,Maul,0,10,A,0,0,0
260,5,Lions,Kings,1,11,SA2,SA2,15,Tap Penalty,Tap Penalty,1,9,A,1,2,3
261,5,Lions,Kings,1,11,SA2,SA2,24,Tap Penalty,Multiphase,7,51,B,1,10,11
262,5,Lions,Kings,1,11,SA2,SA2,33,Lineout,Maul,0,8,A,0,0,0
263,5,Lions,Kings,1,11,SA2,SA2,76,Lineout,Lineout,0,7,B,0,2,2
264,5,Rebels,Waratahs,18,16,AUS,AUS,18,Kick Receipt,Kick Receipt,3,40,B,2,6,8
265,5,Rebels,Waratahs,18,16,AUS,AUS,30,Kick Receipt,Kick Receipt,0,13,C,1,2,3
